Keyword,Page type,Location,Tag,content_block,Avg. monthly searches,Three month change,YoY change,Competition,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026
shopping la rambla barcelona,City PDP,Barcelona,Shopping,Unclassified,2400,0%,26%,Low,1900,1900,1900,3600,1900,3600,1900,1600,1900,2400,2900,2400
stand up paddle barceloneta,City PDP,Barcelona,Neighbourhoods & areas,Neighbourhoods block,2400,83%,0%,High,1600,2400,4400,6600,6600,2400,880,390,390,480,590,880
sup barceloneta,City PDP,Barcelona,Neighbourhoods & areas,Neighbourhoods block,2400,83%,0%,High,1600,2400,4400,6600,6600,2400,880,390,390,480,590,880
taco barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,2400,53%,-19%,Low,2900,2900,2400,2900,3600,2400,2400,1900,1900,1900,1900,2900
three day barcelona itinerary,City PDP,Barcelona,Itineraries & trip length,Unclassified,2400,21%,-19%,Medium,3600,3600,2900,2400,2400,2400,1900,1600,1300,2400,2400,2900
top beaches in barcelona,City PDP,Barcelona,Beaches & water,Things to do block,2400,60%,-33%,Medium,2900,3600,5400,5400,4400,2900,1600,880,590,1000,1000,1600
top places to see in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,2400,26%,-33%,High,2900,2900,2900,2400,2400,2400,2400,1600,1600,1900,1900,2400
top sights in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,2400,26%,-33%,High,2900,2900,2900,2400,2400,2400,2400,1600,1600,1900,1900,2400
top sights to see in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,2400,26%,-33%,High,2900,2900,2900,2400,2400,2400,2400,1600,1600,1900,1900,2400
top sightseeing in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,2400,26%,-33%,High,2900,2900,2900,2400,2400,2400,2400,1600,1600,1900,1900,2400
top sites in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,2400,26%,-33%,High,2900,2900,2900,2400,2400,2400,2400,1600,1600,1900,1900,2400
top sites to see in barcelona,City PDP,Barcelona,Misc & branded queries,City attractions block,2400,26%,-33%,High,2900,2900,2900,2400,2400,2400,2400,1600,1600,1900,1900,2400
top tourist attractions in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,2400,26%,-33%,High,2900,2900,2900,2400,2400,2400,2400,1600,1600,1900,1900,2400
top tourist sites in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,2400,26%,-33%,High,2900,2900,2900,2400,2400,2400,2400,1600,1600,1900,1900,2400
top tourist spots in barcelona,City PDP,Barcelona,Misc & branded queries,City attractions block,2400,26%,-33%,High,2900,2900,2900,2400,2400,2400,2400,1600,1600,1900,1900,2400
tourist areas in barcelona spain,City PDP,Barcelona,Misc & branded queries,Unclassified,2400,0%,-34%,High,2900,2900,2400,2400,2400,2400,1900,1600,1600,1900,1900,1900
tourist sites in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,2400,0%,-34%,High,2900,2900,2400,2400,2400,2400,1900,1600,1600,1900,1900,1900
tourist things in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,2400,0%,-34%,High,2900,2900,2400,2400,2400,2400,1900,1600,1600,1900,1900,1900
touristy things to do in barcelona,City PDP,Barcelona,Activities & experiences,Things to do block,2400,0%,-34%,High,2900,2900,2400,2400,2400,2400,1900,1600,1600,1900,1900,1900
vegan restaurant barcelona spain,City PDP,Barcelona,Food & drink,Things to do block,2400,26%,-33%,Low,2900,2900,2900,2400,1900,2400,1900,1900,1600,1900,1900,2400
vegan restaurants barcelona,City PDP,Barcelona,Food & drink,Things to do block,2400,26%,-33%,Low,2900,2900,2900,2400,1900,2400,1900,1900,1600,1900,1900,2400
vegetarian restaurant barcelona,City PDP,Barcelona,Food & drink,Things to do block,2400,26%,-33%,Low,2900,2900,2900,2400,1900,2400,1900,1900,1600,1900,1900,2400
46 bus barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,1900,0%,-33%,Low,1900,1900,1900,1900,2400,2400,2400,1900,1900,1600,1600,1600
art bcn,City PDP,Barcelona,Art & culture,Unclassified,1900,0%,-34%,Medium,2400,2400,2400,2400,1900,1900,2400,1900,1600,1900,1600,1900
arty barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,1900,0%,-34%,Medium,2400,2400,2400,2400,1900,1900,2400,1900,1600,1900,1600,1900
barcelona artist,City PDP,Barcelona,Misc & branded queries,Unclassified,1900,0%,-16%,Low,1900,2400,1900,1900,1900,1600,1600,1300,1300,1600,1600,1600
barcelona beach gay,City PDP,Barcelona,Beaches & water,Things to do block,1900,39%,-23%,Low,1900,2400,3600,3600,4400,2400,1300,1000,590,720,880,1000
barcelona best steak,City PDP,Barcelona,Misc & branded queries,Things to do block,1900,19%,-34%,Medium,2900,2400,2400,2400,2400,2400,1900,1600,1300,1600,1600,1900
barcelona itineraries,City PDP,Barcelona,Itineraries & trip length,Itineraries block,1900,0%,-47%,High,2900,3600,2900,2400,1900,1900,1600,1300,1300,1900,1900,1900
barcelona sandwich,City PDP,Barcelona,Misc & branded queries,Unclassified,1900,53%,0%,Low,2900,2400,2400,1900,1900,1900,1900,1600,1600,1900,1900,2900
barcelona shopping street,City PDP,Barcelona,Shopping,Things to do block,1900,19%,-21%,Low,2900,2900,2900,2900,2400,2400,2400,1600,1300,1600,1600,1900
barcelona to montserrat day trip,City PDP,Barcelona,Nearby & day trips,Nearby block,1900,0%,-32%,Medium,1900,1900,2400,2400,2400,2400,1300,2400,1300,1300,1300,1300
barcelona transit,City PDP,Barcelona,Misc & branded queries,Unclassified,1900,19%,-34%,Low,2900,2400,2400,2400,2400,2400,2400,1600,1300,1600,1600,1900
barcelona travel guide,City PDP,Barcelona,Trip planning & tips,Things to do block,1900,175%,52%,Low,2900,2400,1900,1900,1900,1600,1600,1000,1000,1600,1600,4400
barcelona travel itinerary,City PDP,Barcelona,Itineraries & trip length,Unclassified,1900,0%,-47%,High,2900,3600,2900,2400,1900,1900,1600,1300,1300,1900,1900,1900
barcelona vacation guide,City PDP,Barcelona,Trip planning & tips,H1,1900,175%,52%,Low,2900,2400,1900,1900,1900,1600,1600,1000,1000,1600,1600,4400
barcelona visit guide,City PDP,Barcelona,Trip planning & tips,Unclassified,1900,175%,52%,Low,2900,2400,1900,1900,1900,1600,1600,1000,1000,1600,1600,4400
barcelona visitors guide,City PDP,Barcelona,Trip planning & tips,Unclassified,1900,175%,52%,Low,2900,2400,1900,1900,1900,1600,1600,1000,1000,1600,1600,4400
barceloneta guide,City PDP,Barcelona,Neighbourhoods & areas,Neighbourhoods block,1900,19%,-34%,High,2400,2400,1900,1900,1600,2400,1600,1300,1300,1600,1600,1900
best barcelona shopping,City PDP,Barcelona,Shopping,Things to do block,1900,60%,-33%,Low,2900,2900,2900,2400,2400,2400,1900,1300,1000,1000,1000,1600
best burger barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,1900,19%,-47%,Low,2900,2400,1900,2400,1900,1900,1900,1900,1300,1600,1300,1900
best day tours from barcelona,City PDP,Barcelona,Nearby & day trips,Nearby block,1900,0%,-21%,High,2400,2400,1900,1900,1900,1600,1600,1300,1300,1900,1900,1900
best day trip from barcelona,City PDP,Barcelona,Nearby & day trips,Nearby block,1900,0%,-21%,High,2400,2400,1900,1900,1900,1600,1600,1300,1300,1900,1900,1900
best day trips from barcelona,City PDP,Barcelona,Nearby & day trips,Nearby block,1900,0%,-21%,High,2400,2400,1900,1900,1900,1600,1600,1300,1300,1900,1900,1900
best shopping in barcelona,City PDP,Barcelona,Shopping,Things to do block,1900,60%,-33%,Low,2900,2900,2900,2400,2400,2400,1900,1300,1000,1000,1000,1600
best shopping in barcelona spain,City PDP,Barcelona,Shopping,Things to do block,1900,60%,-33%,Low,2900,2900,2900,2400,2400,2400,1900,1300,1000,1000,1000,1600
best steak in barcelona,City PDP,Barcelona,Misc & branded queries,Things to do block,1900,19%,-34%,Medium,2900,2400,2400,2400,2400,2400,1900,1600,1300,1600,1600,1900
best steak restaurant barcelona,City PDP,Barcelona,Food & drink,Things to do block,1900,19%,-34%,Medium,2900,2400,2400,2400,2400,2400,1900,1600,1300,1600,1600,1900
best stores barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,1900,60%,-33%,Low,2900,2900,2900,2400,2400,2400,1900,1300,1000,1000,1000,1600
best trips from barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,1900,0%,-21%,High,2400,2400,1900,1900,1900,1600,1600,1300,1300,1900,1900,1900
cool stores in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,1900,60%,-33%,Low,2900,2900,2900,2400,2400,2400,1900,1300,1000,1000,1000,1600
coolest stores in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,1900,60%,-33%,Low,2900,2900,2900,2400,2400,2400,1900,1300,1000,1000,1000,1600
day tours to montserrat from barcelona,City PDP,Barcelona,Nearby & day trips,Nearby block,1900,0%,-32%,Medium,1900,1900,2400,2400,2400,2400,1300,2400,1300,1300,1300,1300
free activities in barcelona,City PDP,Barcelona,Activities & experiences,Unclassified,1900,19%,-21%,Low,2400,2900,2400,2400,1900,1900,1900,1300,1300,1600,1600,1900
free attractions in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,1900,19%,-21%,Low,2400,2900,2400,2400,1900,1900,1900,1300,1300,1600,1600,1900
free places to visit in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,1900,19%,-21%,Low,2400,2900,2400,2400,1900,1900,1900,1300,1300,1600,1600,1900
free stuff to do in barcelona,City PDP,Barcelona,Activities & experiences,Things to do block,1900,19%,-21%,Low,2400,2900,2400,2400,1900,1900,1900,1300,1300,1600,1600,1900
free things in barcelona,City PDP,Barcelona,Budget & value,Unclassified,1900,19%,-21%,Low,2400,2900,2400,2400,1900,1900,1900,1300,1300,1600,1600,1900
free things to do in barcelona,City PDP,Barcelona,Budget & value,Things to do block,1900,19%,-21%,Low,2400,2900,2400,2400,1900,1900,1900,1300,1300,1600,1600,1900
good shopping barcelona,City PDP,Barcelona,Shopping,Unclassified,1900,60%,-33%,Low,2900,2900,2900,2400,2400,2400,1900,1300,1000,1000,1000,1600
good shopping in barcelona,City PDP,Barcelona,Shopping,Things to do block,1900,60%,-33%,Low,2900,2900,2900,2400,2400,2400,1900,1300,1000,1000,1000,1600
good steak barcelona,City PDP,Barcelona,Misc & branded queries,Things to do block,1900,19%,-34%,Medium,2900,2400,2400,2400,2400,2400,1900,1600,1300,1600,1600,1900
guide to visiting barcelona,City PDP,Barcelona,Trip planning & tips,Unclassified,1900,175%,52%,Low,2900,2400,1900,1900,1900,1600,1600,1000,1000,1600,1600,4400
halal restaurant barcelona,City PDP,Barcelona,Food & drink,Things to do block,1900,23%,0%,Low,2900,1900,1900,2900,2900,1600,1600,1300,1600,1300,1300,1600
halal restaurant barcelona spain,City PDP,Barcelona,Food & drink,Things to do block,1900,23%,0%,Low,2900,1900,1900,2900,2900,1600,1600,1300,1600,1300,1300,1600
halal restaurant in barcelona spain,City PDP,Barcelona,Food & drink,Things to do block,1900,23%,0%,Low,2900,1900,1900,2900,2900,1600,1600,1300,1600,1300,1300,1600
itinerary for barcelona,City PDP,Barcelona,Itineraries & trip length,Unclassified,1900,0%,-47%,High,2900,3600,2900,2400,1900,1900,1600,1300,1300,1900,1900,1900
l olive restaurant barcelona,City PDP,Barcelona,Food & drink,Things to do block,1900,19%,0%,Low,1900,2400,1900,1900,1600,1900,1900,1900,1600,1600,1300,1900
montserrat by train from barcelona,City PDP,Barcelona,Nature & outdoors,Nearby block,1900,26%,0%,Low,2900,2400,1900,1900,2400,1900,1900,1600,1300,1900,1900,2400
montserrat day tours from barcelona,City PDP,Barcelona,Nearby & day trips,Nearby block,1900,0%,-32%,Medium,1900,1900,2400,2400,2400,2400,1300,2400,1300,1300,1300,1300
places to eat in barcelona,City PDP,Barcelona,Food & drink,Unclassified,1900,60%,-33%,Low,2900,2900,1900,1900,1900,1600,1600,1300,880,1000,1300,1600
playa mar bella barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,1900,83%,0%,Low,1600,2400,5400,3600,3600,1300,720,390,320,480,720,880
sandwich in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,1900,53%,0%,Low,2900,2400,2400,1900,1900,1900,1900,1600,1600,1900,1900,2900
travel itinerary barcelona,City PDP,Barcelona,Itineraries & trip length,Unclassified,1900,0%,-47%,High,2900,3600,2900,2400,1900,1900,1600,1300,1300,1900,1900,1900
zara factory outlet barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,1900,0%,-46%,Low,2400,2400,1600,1600,1900,1900,1900,1900,1300,1300,1000,1300
zara outlet barcelona spain,City PDP,Barcelona,Misc & branded queries,Unclassified,1900,0%,-46%,Low,2400,2400,1600,1600,1900,1900,1900,1900,1300,1300,1000,1300
zara outlet in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,1900,0%,-46%,Low,2400,2400,1600,1600,1900,1900,1900,1900,1300,1300,1000,1300
a1 bus barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,1600,23%,-33%,Low,1900,1900,2400,1900,1900,1900,1900,1600,1300,1300,1300,1600
andorra day tour from barcelona,City PDP,Barcelona,Nearby & day trips,Nearby block,1600,-16%,-16%,Medium,1600,1600,1600,1600,1600,1600,1300,1300,1300,1900,1600,1600
andorra day trip from barcelona,City PDP,Barcelona,Nearby & day trips,Nearby block,1600,-16%,-16%,Medium,1600,1600,1600,1600,1600,1600,1300,1300,1300,1900,1600,1600
anti tourism barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,1600,0%,-28%,Low,1900,2400,5400,1900,1600,1300,880,880,1000,720,590,720
art in barcelona,City PDP,Barcelona,Art & culture,Things to do block,1600,0%,-33%,Medium,1900,2400,1900,1600,1900,1900,1600,1600,1300,1600,1600,1600
artwork in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,1600,0%,-33%,Medium,1900,2400,1900,1600,1900,1900,1600,1600,1300,1600,1600,1600
barcelona anti tourism,City PDP,Barcelona,Misc & branded queries,Unclassified,1600,0%,-28%,Low,1900,2400,5400,1900,1600,1300,880,880,1000,720,590,720
barcelona artwork,City PDP,Barcelona,Misc & branded queries,Unclassified,1600,0%,-33%,Medium,1900,2400,1900,1600,1900,1900,1600,1600,1300,1600,1600,1600
barcelona barceloneta beach,City PDP,Barcelona,Beaches & water,Things to do block,1600,125%,177%,Low,720,1300,1600,1300,1300,720,2900,390,720,1600,4400,3600
barcelona bus a1,City PDP,Barcelona,Misc & branded queries,Unclassified,1600,23%,-33%,Low,1900,1900,2400,1900,1900,1900,1900,1600,1300,1300,1300,1600
barcelona culture food,City PDP,Barcelona,Food & drink,Things to do block,1600,46%,0%,Low,1900,2400,1600,1300,1300,1600,1600,1300,1000,1300,1600,1900
barcelona mexican restaurant,City PDP,Barcelona,Food & drink,Things to do block,1600,60%,-33%,Low,2400,1900,1900,1900,1300,1300,1300,1300,880,1000,1000,1600
barcelona sightseeing top 10,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,1600,-19%,-32%,High,1900,2400,1900,1900,1900,1900,1900,1000,1300,1600,1300,1300
barcelona things to see,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,1600,0%,-33%,High,1900,1900,1600,1600,1600,1600,1600,1000,1000,1600,1600,1600
barcelona top 10 places to visit,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,1600,-19%,-32%,High,1900,2400,1900,1900,1900,1900,1900,1000,1300,1600,1300,1300
barcelona traditional food,City PDP,Barcelona,Food & drink,Things to do block,1600,46%,0%,Low,1900,2400,1600,1300,1300,1600,1600,1300,1000,1300,1600,1900
barcelona typical food,City PDP,Barcelona,Food & drink,Things to do block,1600,46%,0%,Low,1900,2400,1600,1300,1300,1600,1600,1300,1000,1300,1600,1900
barcelona vacation,City PDP,Barcelona,Misc & branded queries,H1,1600,-12%,-70%,Medium,2400,2900,2900,1900,1600,1300,720,590,1000,1000,880,880
barcelona visiting places top 10,City PDP,Barcelona,Misc & branded queries,Unclassified,1600,-19%,-32%,High,1900,2400,1900,1900,1900,1900,1900,1000,1300,1600,1300,1300
barcelona what to see in 3 days,City PDP,Barcelona,Misc & branded queries,City attractions block,1600,0%,-16%,High,1900,1900,1600,1600,1600,1600,1600,1300,880,1600,1600,1600
barceloneta marina,City PDP,Barcelona,Neighbourhoods & areas,Neighbourhoods block,1600,60%,0%,Low,1900,1900,1900,1600,1900,1600,1300,1000,880,1000,1300,1600
best fish restaurant barcelona,City PDP,Barcelona,Food & drink,Things to do block,1600,30%,-46%,Medium,2400,2400,1900,1600,1600,1600,1300,880,880,1000,880,1300
best neighbourhoods in barcelona,City PDP,Barcelona,Neighbourhoods & areas,Neighbourhoods block,1600,23%,-33%,Medium,1900,2400,1900,1900,1600,1600,1300,1000,880,1300,1300,1600
best restaurant gothic quarter barcelona,City PDP,Barcelona,Food & drink,Things to do block,1600,48%,-32%,Medium,1900,1900,1900,1900,1900,1900,1300,1000,590,880,880,1300
best restaurants gothic quarter barcelona,City PDP,Barcelona,Food & drink,Things to do block,1600,48%,-32%,Medium,1900,1900,1900,1900,1900,1900,1300,1000,590,880,880,1300
best seafood restaurant barcelona,City PDP,Barcelona,Food & drink,Things to do block,1600,30%,-46%,Medium,2400,2400,1900,1600,1600,1600,1300,880,880,1000,880,1300
best seafood restaurant barcelona spain,City PDP,Barcelona,Food & drink,Things to do block,1600,30%,-46%,Medium,2400,2400,1900,1600,1600,1600,1300,880,880,1000,880,1300
best seafood restaurant in barcelona,City PDP,Barcelona,Food & drink,Things to do block,1600,30%,-46%,Medium,2400,2400,1900,1600,1600,1600,1300,880,880,1000,880,1300
best sushi barcelona,City PDP,Barcelona,Misc & branded queries,Things to do block,1600,60%,-45%,Low,2400,1600,1600,1600,1600,1600,1300,1300,880,1000,1300,1600
best sushi in barcelona spain,City PDP,Barcelona,Misc & branded queries,Things to do block,1600,60%,-45%,Low,2400,1600,1600,1600,1600,1600,1300,1300,880,1000,1300,1600
bus from barcelona to madrid,City PDP,Barcelona,Nearby & day trips,Nearby block,1600,23%,23%,Medium,1600,1300,1600,1600,1300,1600,1900,1300,1000,1300,1600,1600
bus from barcelona to valencia,City PDP,Barcelona,Nearby & day trips,Nearby block,1600,46%,0%,Medium,1900,1600,1600,1900,1600,1600,1900,1300,1000,1300,1600,1900
bus girona airport barcelona,City PDP,Barcelona,Getting there & local transport,Unclassified,1600,39%,-47%,Low,2400,2400,1900,1900,1600,1600,1600,590,590,720,720,1000
fashion in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,1600,23%,-16%,Medium,1900,1900,1600,1300,1600,3600,1600,1300,1000,1300,1300,1600
gothic quarter barcelona best restaurants,City PDP,Barcelona,Food & drink,Things to do block,1600,48%,-32%,Medium,1900,1900,1900,1900,1900,1900,1300,1000,590,880,880,1300
mexican restaurant barcelona,City PDP,Barcelona,Food & drink,Things to do block,1600,60%,-33%,Low,2400,1900,1900,1900,1300,1300,1300,1300,880,1000,1000,1600
mexican restaurant in barcelona spain,City PDP,Barcelona,Food & drink,Things to do block,1600,60%,-33%,Low,2400,1900,1900,1900,1300,1300,1300,1300,880,1000,1000,1600
mexican restaurants in barcelona spain,City PDP,Barcelona,Food & drink,Things to do block,1600,60%,-33%,Low,2400,1900,1900,1900,1300,1300,1300,1300,880,1000,1000,1600
montserrat monastery barcelona,City PDP,Barcelona,Nature & outdoors,Nearby block,1600,26%,50%,Medium,1300,1300,1300,1300,1300,1300,1600,1600,1300,1900,1900,2400
poblenou restaurants,City PDP,Barcelona,Food & drink,Unclassified,1600,23%,-45%,Low,2900,1900,1900,1900,1600,1900,1600,1600,1300,1300,1300,1600
pork boig per tu barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,1600,0%,-87%,Low,3600,3600,3600,2400,1000,1300,1000,720,590,480,480,480
