Keyword,Page type,Location,Tag,Avg. monthly searches,Three month change,YoY change,Competition,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026
small towns to visit in spain,Country PLP,Spain,Urban destinations,30,-25%,-40%,Low,40,40,30,30,40,30,30,20,20,40,30,30
solo female travel in spain,Country PLP,Spain,Places & destinations,10,-100%,-100%,Unknown,10,10,20,10,10,10,10,10,10,10,10,0
south coast spain destinations,Country PLP,Spain,Regional exploration,10,0%,0%,Medium,10,10,10,10,10,10,10,10,10,10,10,10
south of spain best places to visit,Country PLP,Spain,Regional exploration,30,-50%,-71%,Low,40,50,20,40,30,20,20,30,40,40,40,20
south of spain must see,Country PLP,Spain,Regional exploration,10,0%,-50%,Low,20,10,20,10,20,20,10,10,10,10,10,10
south of spain places to visit,Country PLP,Spain,Regional exploration,30,-25%,0%,Low,30,50,40,40,20,20,20,10,20,40,50,30
south of spain where to go,Country PLP,Spain,Regional exploration,20,-25%,-25%,Low,20,20,30,20,20,30,20,20,10,40,20,30
south spain tourist attractions,Country PLP,Spain,Regional exploration,30,0%,-40%,Low,40,40,20,30,30,40,30,30,30,30,30,30
southern spain attractions,Country PLP,Spain,Regional exploration,320,-33%,-33%,Low,320,320,260,320,320,260,210,260,260,390,260,260
southern spain cities to visit,Country PLP,Spain,Regional exploration,90,-21%,57%,Low,40,70,90,70,110,90,110,110,110,140,90,110
southern spain must see,Country PLP,Spain,Regional exploration,70,-18%,-18%,Low,90,90,50,70,70,90,70,70,70,110,90,90
southern spain road trip itinerary,Country PLP,Spain,Itineraries & road trips,10,-50%,-67%,Low,10,10,10,10,20,10,10,10,10,20,10,10
southern spain where to go,Country PLP,Spain,Regional exploration,10,0%,0%,Medium,10,10,10,10,10,10,10,10,10,10,10,10
spain and southern france trip,Country PLP,Spain,Places & destinations,10,0%,0%,Medium,10,20,10,10,10,10,10,10,10,10,10,10
spain areas to visit,Country PLP,Spain,Places & destinations,30,0%,-50%,Medium,40,50,40,30,40,30,20,20,10,20,20,20
spain as tourist destination,Country PLP,Spain,Places & destinations,880,0%,-12%,Low,1000,1300,880,720,880,1000,1000,720,720,880,880,880
spain beach trip,Country PLP,Spain,Beaches & coast,20,0%,0%,Medium,30,20,20,10,10,10,10,10,10,20,10,20
spain beaches near airport,Country PLP,Spain,Beaches & coast,10,0%,0%,Low,20,10,10,20,10,10,10,10,10,10,10,10
spain beautiful country for travel enthusiasts,Country PLP,Spain,Places & destinations,10,∞,∞,Low,0,0,0,0,0,0,0,0,0,0,0,10
spain beautiful places to visit,Country PLP,Spain,Places & destinations,30,-25%,50%,Low,20,30,20,30,40,30,30,30,30,40,40,30
spain best beach destinations,Country PLP,Spain,Beaches & coast,10,0%,0%,Low,20,20,20,20,20,10,10,10,10,10,10,10
spain best european cities to visit,Country PLP,Spain,Urban destinations,0,0%,0%,Unknown,0,0,0,0,0,0,0,0,0,0,0,0
spain best holiday locations,Country PLP,Spain,Trip types & holidays,30,-40%,0%,Medium,40,30,30,40,10,20,20,20,20,50,30,30
spain best month to visit,Country PLP,Spain,Seasonality & weather,40,-25%,-40%,Low,70,50,50,40,40,30,40,30,30,40,50,30
spain best places to visit in summer,Country PLP,Spain,Seasonality & weather,20,0%,-50%,Medium,20,30,20,30,10,10,10,10,10,10,20,10
spain best places to visit in winter,Country PLP,Spain,Seasonality & weather,10,0%,0%,Low,10,10,0,10,10,10,10,10,10,10,10,10
spain best road trips,Country PLP,Spain,Places & destinations,10,0%,-50%,Low,10,10,10,10,10,10,10,10,10,10,10,10
spain best spots,Country PLP,Spain,Places & destinations,20,0%,100%,Low,20,20,30,20,20,20,10,20,10,20,20,20
spain best summer destinations,Country PLP,Spain,Seasonality & weather,20,100%,-33%,Low,40,20,30,20,10,10,10,10,10,10,20,20
spain best things to do,Country PLP,Spain,Activities & experiences,30,0%,-20%,Medium,50,40,30,30,30,20,20,30,20,40,30,40
spain best towns to visit,Country PLP,Spain,Urban destinations,10,100%,100%,Low,10,10,10,20,10,10,10,10,10,10,10,20
spain best winter destinations,Country PLP,Spain,Seasonality & weather,10,-100%,-100%,Unknown,10,10,10,10,10,10,20,10,10,10,10,0
spain budget travel,Country PLP,Spain,Budget & value,320,86%,-46%,Low,390,390,480,590,260,320,320,140,170,140,140,260
spain budget trip,Country PLP,Spain,Budget & value,320,86%,-46%,Low,390,390,480,590,260,320,320,140,170,140,140,260
spain cities to see,Country PLP,Spain,Urban destinations,14800,0%,-18%,Low,18100,22200,14800,14800,12100,14800,12100,12100,12100,14800,14800,14800
spain coast road trip,Country PLP,Spain,Itineraries & road trips,50,0%,-29%,Low,90,90,50,50,30,40,30,30,30,50,70,50
spain coast trip,Country PLP,Spain,Places & destinations,10,0%,0%,Medium,10,10,10,10,10,10,10,10,10,10,10,10
spain country famous places,Country PLP,Spain,Sightseeing & landmarks,20,0%,100%,Low,10,20,20,20,10,20,20,10,10,20,30,20
spain destinations to visit,Country PLP,Spain,Places & destinations,40,-22%,250%,Medium,20,20,20,20,20,40,40,40,50,90,50,70
spain east coast road trip,Country PLP,Spain,Itineraries & road trips,40,0%,-43%,Low,40,50,50,40,30,40,10,10,20,40,30,40
spain famous destinations,Country PLP,Spain,Places & destinations,10,0%,-50%,Medium,30,10,10,10,10,10,10,10,0,10,10,10
spain famous tourist places,Country PLP,Spain,Places & destinations,50,100%,0%,Low,90,70,70,40,50,50,40,30,20,20,30,40
spain famous tourist spots,Country PLP,Spain,Places & destinations,30,50%,50%,Low,20,20,10,50,30,40,70,40,50,20,30,30
spain for muslim tourists,Country PLP,Spain,Places & destinations,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
spain good places to visit,Country PLP,Spain,Places & destinations,40,25%,25%,Low,40,50,50,30,40,50,40,30,40,40,40,50
spain holidays best place to go,Country PLP,Spain,Trip types & holidays,20,100%,-50%,Medium,40,40,30,10,20,20,10,10,10,10,20,20
spain iconic places,Country PLP,Spain,Sightseeing & landmarks,40,25%,67%,Low,20,30,40,30,30,40,40,50,50,40,30,50
spain in april where to go,Country PLP,Spain,Seasonality & weather,10,50%,50%,Medium,10,10,0,10,10,10,10,10,10,20,20,30
spain in january travel,Country PLP,Spain,Seasonality & weather,20,0%,0%,High,10,10,10,20,20,20,30,40,30,10,10,10
spain in january where to go,Country PLP,Spain,Seasonality & weather,20,0%,0%,Low,10,10,10,20,10,20,20,50,40,10,10,10
spain in winter best places to visit,Country PLP,Spain,Seasonality & weather,70,-86%,-75%,Low,40,50,50,90,90,110,110,110,90,70,40,10
spain in winter travel,Country PLP,Spain,Seasonality & weather,30,-50%,-50%,Low,10,20,20,30,20,40,70,40,40,20,20,10
spain is safe,Country PLP,Spain,Places & destinations,2900,52%,22%,Low,3600,3600,3600,3600,2900,2900,2400,2400,2400,2900,2900,4400
spain is safe to travel,Country PLP,Spain,Places & destinations,30,250%,600%,Low,20,20,30,30,30,10,20,20,30,20,20,70
spain landmarks and attractions,Country PLP,Spain,Sightseeing & landmarks,70,0%,0%,Low,90,140,70,50,40,110,110,30,20,70,50,70
spain locations to visit,Country PLP,Spain,Places & destinations,14800,0%,-18%,Low,18100,22200,14800,14800,12100,14800,12100,12100,12100,14800,14800,14800
spain long weekend trip,Country PLP,Spain,Places & destinations,10,0%,-67%,High,30,10,10,10,10,10,10,10,10,10,10,10
spain main cities to visit,Country PLP,Spain,Urban destinations,20,-33%,0%,Low,20,20,20,20,20,20,30,20,20,30,20,20
spain mediterranean coast road trip,Country PLP,Spain,Beaches & coast,20,-50%,-67%,Low,10,40,30,20,20,20,20,20,20,20,20,10
spain most famous places,Country PLP,Spain,Sightseeing & landmarks,90,-29%,-29%,Low,90,110,70,70,90,110,110,70,50,70,70,50
spain most popular holiday destination,Country PLP,Spain,Trip types & holidays,50,-29%,-29%,Low,50,90,90,90,90,70,30,20,30,70,30,50
spain most popular places to visit,Country PLP,Spain,Places & destinations,10,0%,0%,High,10,10,10,10,10,10,10,10,10,10,10,10
spain most popular tourist destinations,Country PLP,Spain,Places & destinations,30,-20%,100%,Medium,50,30,20,30,20,40,20,30,40,50,20,40
spain most touristic cities,Country PLP,Spain,Urban destinations,20,-50%,-67%,Low,20,30,20,30,10,10,20,10,10,20,10,10
spain most visited tourist attractions,Country PLP,Spain,Sightseeing & landmarks,390,0%,-19%,Low,590,590,590,390,390,480,480,320,320,390,320,390
spain must do things,Country PLP,Spain,Places & destinations,10,-100%,-100%,Unknown,20,10,10,10,10,10,10,10,10,10,10,0
spain must go,Country PLP,Spain,Places & destinations,260,-34%,-46%,Medium,320,320,260,260,260,210,210,210,170,320,260,210
spain must go places,Country PLP,Spain,Places & destinations,20,100%,-33%,Low,30,10,20,20,10,20,20,20,20,10,10,20
spain must see tourist attractions,Country PLP,Spain,Sightseeing & landmarks,10,0%,0%,Low,20,10,10,10,10,10,10,20,10,10,10,10
spain must visit cities,Country PLP,Spain,Urban destinations,2900,-33%,-33%,Medium,3600,3600,2900,2900,2400,2400,2400,1900,1900,3600,2400,2400
spain nature destinations,Country PLP,Spain,Places & destinations,10,0%,0%,Low,10,20,10,10,0,10,10,10,0,10,10,10
spain party island,Country PLP,Spain,Nightlife & parties,1300,23%,60%,Low,1000,1300,1300,2400,1300,880,1300,1300,880,1300,1300,1600
spain place to go,Country PLP,Spain,Places & destinations,260,-18%,52%,Low,260,320,260,210,260,210,170,210,210,390,260,320
spain places to travel,Country PLP,Spain,Places & destinations,14800,0%,-18%,Low,18100,22200,14800,14800,12100,14800,12100,12100,12100,14800,14800,14800
spain places to visit beach,Country PLP,Spain,Beaches & coast,10,0%,0%,Low,10,20,10,20,10,10,10,10,10,10,20,10
spain places to visit in december,Country PLP,Spain,Seasonality & weather,40,-67%,-50%,Medium,10,10,30,30,50,50,70,90,70,30,20,10
spain places to visit in winter,Country PLP,Spain,Seasonality & weather,10,-100%,-100%,Unknown,10,10,0,0,10,10,10,10,10,10,10,0
spain pretty places,Country PLP,Spain,Places & destinations,50,33%,-43%,Low,50,70,70,40,40,40,50,40,70,30,30,40
spain safe for tourists,Country PLP,Spain,Places & destinations,320,175%,175%,Low,390,390,480,320,260,260,260,210,210,320,260,880
spain scenic places,Country PLP,Spain,Nature & outdoors,70,29%,29%,Low,90,90,90,70,70,70,70,50,50,70,70,90
spain seaside destinations,Country PLP,Spain,Beaches & coast,10,0%,0%,Medium,20,20,50,20,30,10,0,0,10,10,10,10
spain solo,Country PLP,Spain,Places & destinations,260,0%,-19%,Low,260,390,390,390,260,260,210,170,170,260,210,260
spain special places,Country PLP,Spain,Places & destinations,50,0%,-29%,Low,50,90,40,40,50,90,70,40,30,50,50,50
spain spots,Country PLP,Spain,Places & destinations,140,0%,-33%,Low,140,140,170,110,170,140,210,110,140,140,170,140
spain summer holiday destinations,Country PLP,Spain,Seasonality & weather,10,100%,0%,Medium,20,30,30,10,10,10,10,10,10,10,10,20
spain summer travel,Country PLP,Spain,Seasonality & weather,30,0%,-20%,Low,30,50,40,30,10,10,10,10,10,40,20,40
spain summer trip,Country PLP,Spain,Seasonality & weather,30,0%,-20%,Low,30,50,40,30,10,10,10,10,10,40,20,40
spain the most beautiful places,Country PLP,Spain,Places & destinations,6600,0%,-19%,Low,8100,8100,6600,6600,6600,5400,5400,5400,4400,6600,5400,6600
spain things to do and see,Country PLP,Spain,Activities & experiences,30,-50%,-33%,Low,30,70,50,30,20,40,50,20,20,40,20,20
spain things to visit,Country PLP,Spain,Places & destinations,1600,0%,-16%,Low,1900,1900,1600,1300,1300,1600,1300,1300,1300,1600,1600,1600
spain top 10 cities,Country PLP,Spain,Urban destinations,1600,-16%,0%,Low,1600,2900,1600,1600,1300,1600,1600,1600,1300,1900,1600,1600
spain top 15 destinations,Country PLP,Spain,Places & destinations,10,0%,∞,Low,0,10,0,10,10,10,10,10,10,10,10,10
spain top 5 cities,Country PLP,Spain,Urban destinations,210,0%,0%,Low,210,210,210,170,170,210,260,210,210,210,210,210
spain top 5 tourist attractions,Country PLP,Spain,Sightseeing & landmarks,70,80%,200%,Low,110,70,50,30,40,90,70,70,70,50,50,90
spain top cities,Country PLP,Spain,Urban destinations,1600,0%,-16%,Low,1900,1900,1600,1600,1300,1300,1300,1000,1000,1600,1300,1600
spain top places to visit,Country PLP,Spain,Places & destinations,170,-36%,-57%,Low,210,260,210,170,170,140,110,110,90,140,140,90
spain top sights,Country PLP,Spain,Sightseeing & landmarks,1000,-23%,-23%,Low,1300,1900,1300,880,1000,1300,1300,880,1000,1300,880,1000
spain top tourist cities,Country PLP,Spain,Urban destinations,1600,-16%,-33%,Medium,1900,1900,1600,1600,1600,1300,1300,1000,1000,1900,1600,1600
spain top tourist destinations,Country PLP,Spain,Places & destinations,880,0%,-18%,Low,880,1300,720,590,720,1300,880,720,720,720,720,720
spain tour places,Country PLP,Spain,Places & destinations,140,0%,-18%,Low,210,170,170,140,170,170,210,110,140,140,90,140
spain tourist areas,Country PLP,Spain,Places & destinations,14800,0%,-18%,Low,18100,22200,14800,12100,14800,18100,18100,12100,12100,14800,12100,14800
spain tourist beaches,Country PLP,Spain,Beaches & coast,10,100%,100%,Low,20,10,30,20,10,10,10,10,10,10,10,20
spain tourist locations,Country PLP,Spain,Places & destinations,2900,-17%,-17%,Low,4400,5400,2900,1600,2900,4400,3600,2400,2400,2900,2400,2400
spain tourist places to visit,Country PLP,Spain,Places & destinations,880,0%,-12%,Low,1000,1300,880,720,880,1000,1000,720,720,880,880,880
spain tourist sights,Country PLP,Spain,Sightseeing & landmarks,14800,0%,-18%,Low,18100,22200,14800,12100,14800,18100,18100,12100,12100,14800,12100,14800
spain tourists by country,Country PLP,Spain,Places & destinations,20,100%,100%,Low,20,30,40,50,30,20,20,10,10,10,10,20
spain towns to visit,Country PLP,Spain,Urban destinations,70,-22%,-22%,Low,70,70,70,70,50,50,50,50,30,90,50,70
spain travel attractions,Country PLP,Spain,Places & destinations,10,0%,0%,High,10,10,10,30,10,10,20,10,10,10,10,10
spain travel best places,Country PLP,Spain,Places & destinations,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
spain travel highlights,Country PLP,Spain,Places & destinations,50,-57%,-25%,Medium,50,70,90,90,50,50,50,30,20,70,40,30
spain travel in november,Country PLP,Spain,Seasonality & weather,20,0%,0%,Low,10,20,20,30,40,30,90,10,10,10,10,10
spain travel locations,Country PLP,Spain,Places & destinations,20,0%,0%,Low,30,30,20,20,10,10,20,20,20,20,20,20
spain travel lonely planet,Country PLP,Spain,Places & destinations,10,0%,0%,Medium,10,10,10,10,10,10,10,0,10,10,10,10
spain travel places,Country PLP,Spain,Places & destinations,14800,0%,-18%,Low,18100,22200,14800,14800,12100,14800,12100,12100,12100,14800,14800,14800
spain travel sites,Country PLP,Spain,Places & destinations,50,-60%,-60%,Low,70,70,40,50,40,50,30,70,70,50,20,20
spain travel spots,Country PLP,Spain,Places & destinations,880,0%,-12%,Low,1000,1300,880,720,880,1000,1000,720,720,880,880,880
spain trip ideas,Country PLP,Spain,Places & destinations,50,-29%,-29%,Medium,90,70,40,30,50,50,40,40,50,70,40,50
spain trip in december,Country PLP,Spain,Seasonality & weather,260,-22%,-50%,Low,170,210,210,390,320,390,480,320,170,90,90,70
spain vacation cities,Country PLP,Spain,Urban destinations,30,-50%,-86%,Low,50,70,70,70,20,30,10,20,10,20,10,10
spain vacation destinations,Country PLP,Spain,Trip types & holidays,880,0%,-32%,Medium,1300,1300,1000,1000,880,880,720,590,590,880,880,880
spain vacation guide,Country PLP,Spain,Trip types & holidays,1600,238%,132%,Low,1600,1900,1300,1000,1000,1600,880,880,880,1300,1000,4400
spain which city to visit,Country PLP,Spain,Urban destinations,30,0%,0%,Low,40,40,20,50,30,30,20,20,30,40,40,40
spain winter destinations,Country PLP,Spain,Seasonality & weather,30,-50%,0%,Low,10,10,10,20,20,30,70,70,30,20,10,10
spain winter itinerary,Country PLP,Spain,Seasonality & weather,10,0%,0%,Low,10,10,10,20,10,10,30,10,10,10,10,10
spain winter vacation,Country PLP,Spain,Seasonality & weather,40,-60%,100%,Medium,10,20,30,30,40,40,40,50,70,50,20,20
spain's best cities,Country PLP,Spain,Urban destinations,1600,0%,-16%,Low,1900,1900,1600,1600,1300,1300,1300,1000,1000,1600,1300,1600
spanish countryside towns,Country PLP,Spain,Urban destinations,20,100%,-33%,Low,20,40,30,20,30,20,20,20,20,10,10,20
spanish speaking vacation spots,Country PLP,Spain,Trip types & holidays,50,40%,40%,Low,110,90,20,30,30,30,50,40,50,50,70,70
stuff to see in spain,Country PLP,Spain,Places & destinations,1600,0%,-16%,Low,1900,1900,1600,1300,1300,1600,1300,1300,1300,1600,1600,1600
summer vacation in spain 2022,Country PLP,Spain,Seasonality & weather,10,0%,0%,Unknown,10,0,0,10,0,0,0,0,0,0,0,0
ten best places to visit in spain,Country PLP,Spain,Places & destinations,2400,-21%,-34%,Low,2900,2900,2400,1900,1900,2400,1900,1600,1600,2400,1900,1900
the best cities in spain to visit,Country PLP,Spain,Urban destinations,20,-33%,-50%,Medium,30,30,30,20,10,10,10,20,20,30,20,20
the best cities to visit in spain,Country PLP,Spain,Urban destinations,210,0%,-19%,Low,260,320,210,260,210,210,170,170,170,210,170,210
the best place in spain,Country PLP,Spain,Places & destinations,170,0%,-35%,Medium,210,260,210,210,170,170,110,170,110,170,140,170
the best place to go in spain,Country PLP,Spain,Places & destinations,170,0%,-35%,Medium,210,260,210,210,170,170,110,170,110,170,140,170
the best things to do in spain,Country PLP,Spain,Activities & experiences,10,0%,0%,Medium,10,10,10,10,10,10,10,10,10,10,10,10
the famous places in spain,Country PLP,Spain,Sightseeing & landmarks,10,0%,0%,Medium,10,10,20,10,10,10,10,20,10,10,10,10
the most beautiful cities in spain,Country PLP,Spain,Urban destinations,90,0%,-18%,Low,110,140,70,70,70,70,70,70,90,90,50,90
the most beautiful places to visit in spain,Country PLP,Spain,Places & destinations,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
the most beautiful town in spain,Country PLP,Spain,Urban destinations,40,-25%,-57%,Low,40,50,30,40,50,30,30,20,20,40,30,30
the most famous place in spain,Country PLP,Spain,Places & destinations,40,0%,-25%,Low,50,70,30,40,30,90,50,40,40,30,30,30
the most visited cities in spain,Country PLP,Spain,Urban destinations,30,-33%,-71%,Low,40,50,40,20,30,30,30,20,20,30,30,20
the most visited place in spain,Country PLP,Spain,Places & destinations,10,0%,0%,Low,20,20,10,10,10,10,10,20,10,10,10,10
things in spain to see,Country PLP,Spain,Places & destinations,10,100%,0%,Low,20,30,10,10,10,10,10,10,20,10,10,20
things not to miss in spain,Country PLP,Spain,Places & destinations,10,0%,-50%,High,10,10,10,10,10,10,10,10,10,10,10,10
things to do in north spain,Country PLP,Spain,Regional exploration,260,-19%,-19%,Low,320,390,320,320,260,210,210,210,170,320,260,260
things to do in northern spain,Country PLP,Spain,Regional exploration,260,-19%,-19%,Low,320,390,320,320,260,210,210,210,170,320,260,260
things to do in san pedro spain,Country PLP,Spain,Activities & experiences,20,0%,-50%,High,20,30,40,50,50,40,20,10,10,10,10,10
things to do in south of spain,Country PLP,Spain,Regional exploration,320,-33%,-33%,Low,320,320,260,320,320,260,210,260,260,390,260,260
things to do in spain in april,Country PLP,Spain,Seasonality & weather,40,-44%,-81%,Medium,90,10,10,10,20,20,30,40,50,90,70,50
things to do in spain in may,Country PLP,Spain,Seasonality & weather,40,-22%,-22%,Medium,90,40,20,10,10,20,40,30,50,90,50,70
things to do in spain in winter,Country PLP,Spain,Seasonality & weather,20,-33%,100%,Medium,10,20,10,20,10,30,20,20,30,30,10,20
things to do in spain with friends,Country PLP,Spain,Activities & experiences,10,-100%,-100%,Unknown,10,10,10,10,10,10,0,10,10,10,10,0
things to do in the north of spain,Country PLP,Spain,Regional exploration,20,50%,50%,Low,30,30,30,30,10,10,10,20,10,20,10,30
things to do northern spain,Country PLP,Spain,Regional exploration,260,-19%,-19%,Low,320,390,320,320,260,210,210,210,170,320,260,260
things to do south of spain,Country PLP,Spain,Regional exploration,30,0%,-25%,Low,50,40,30,40,30,30,40,10,10,30,30,30
things to do southern spain,Country PLP,Spain,Regional exploration,320,-33%,-33%,Low,320,320,260,320,320,260,210,260,260,390,260,260
things to do with spain,Country PLP,Spain,Activities & experiences,18100,-18%,0%,Low,18100,22200,14800,12100,12100,14800,22200,18100,18100,22200,14800,18100
things to see in northern spain,Country PLP,Spain,Regional exploration,260,-19%,-19%,Low,320,390,320,320,260,210,210,210,170,320,260,260
things to see in south spain,Country PLP,Spain,Regional exploration,10,0%,0%,Medium,10,10,10,10,10,10,10,10,10,10,10,10
things to see in southern spain,Country PLP,Spain,Regional exploration,40,-57%,-57%,Medium,30,30,40,50,40,40,30,20,40,70,40,30
things to see in spain top 10,Country PLP,Spain,Sightseeing & landmarks,10,0%,0%,Medium,0,10,10,10,10,10,10,10,10,10,10,10
things you can do in spain,Country PLP,Spain,Places & destinations,30,50%,200%,Low,30,50,30,30,10,40,30,20,20,20,20,30
things you have to do in spain,Country PLP,Spain,Places & destinations,20,-67%,-50%,Medium,10,20,20,20,10,10,20,10,20,30,10,10
things you must do in spain,Country PLP,Spain,Places & destinations,20,-67%,-50%,Medium,10,20,20,20,10,10,20,10,20,30,10,10
things you must see in spain,Country PLP,Spain,Sightseeing & landmarks,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
three things to do in spain,Country PLP,Spain,Activities & experiences,10,0%,0%,Low,10,10,10,0,10,10,10,10,10,10,10,10
three tourist attractions in spain,Country PLP,Spain,Sightseeing & landmarks,140,0%,56%,Low,140,210,70,20,90,210,140,140,110,140,110,140
tips for traveling in spain,Country PLP,Spain,Practical planning,590,1025%,510%,Low,480,590,480,390,320,390,260,210,210,320,320,3600
tips for visiting spain,Country PLP,Spain,Practical planning,20,100%,0%,Low,20,30,30,10,20,10,10,10,20,10,10,20
to go in spain,Country PLP,Spain,Places & destinations,10,100%,0%,Low,10,20,30,10,10,20,20,10,10,10,20,20
to see in spain,Country PLP,Spain,Places & destinations,20,-50%,-67%,Medium,30,40,20,10,20,30,20,20,10,20,20,10
to travel to spain,Country PLP,Spain,Places & destinations,720,-18%,-45%,Low,1000,880,720,720,720,720,590,480,590,880,590,720
top 10 beautiful city in spain,Country PLP,Spain,Urban destinations,170,-35%,89%,Low,90,70,50,90,140,210,210,210,210,260,210,170
top 10 best places to visit in spain,Country PLP,Spain,Places & destinations,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,20,10
top 10 cities in spain to visit,Country PLP,Spain,Urban destinations,30,-25%,-25%,Low,40,40,30,40,30,20,30,20,20,40,30,30
top 10 cities of spain,Country PLP,Spain,Urban destinations,1600,-16%,0%,Low,1600,2900,1600,1600,1300,1600,1600,1600,1300,1900,1600,1600
top 10 cities to see in spain,Country PLP,Spain,Urban destinations,110,-18%,-18%,Low,140,140,110,110,90,90,90,70,70,110,90,90
top 10 cities to visit in spain,Country PLP,Spain,Urban destinations,110,-18%,-18%,Low,140,140,110,110,90,90,90,70,70,110,90,90
top 10 city in spain,Country PLP,Spain,Urban destinations,1600,-16%,0%,Low,1600,2900,1600,1600,1300,1600,1600,1600,1300,1900,1600,1600
top 10 destination in spain,Country PLP,Spain,Places & destinations,2400,-21%,-34%,Low,2900,2900,2400,1900,1900,2400,1900,1600,1600,2400,1900,1900
top 10 holiday destinations in spain,Country PLP,Spain,Trip types & holidays,30,-40%,-25%,Medium,40,50,50,40,30,20,20,10,20,50,30,30
top 10 most beautiful cities in spain,Country PLP,Spain,Urban destinations,20,-33%,100%,Low,10,30,20,30,20,10,20,20,30,30,20,20
top 10 most popular attractions in spain,Country PLP,Spain,Sightseeing & landmarks,40,-40%,-57%,Medium,30,20,40,90,90,30,50,50,30,50,10,30
top 10 places to go in spain,Country PLP,Spain,Places & destinations,2400,-21%,-34%,Low,2900,2900,2400,1900,1900,2400,1900,1600,1600,2400,1900,1900
top 10 places to see in spain,Country PLP,Spain,Places & destinations,2400,-21%,-34%,Low,2900,2900,2400,1900,1900,2400,1900,1600,1600,2400,1900,1900
top 10 places to visit in northern spain,Country PLP,Spain,Regional exploration,10,0%,0%,Low,10,10,10,10,10,0,10,10,10,10,10,10
top 10 places to visit in spain lonely planet,Country PLP,Spain,Places & destinations,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
top 10 sights in spain,Country PLP,Spain,Sightseeing & landmarks,140,-35%,-35%,Medium,170,210,110,140,110,140,140,90,110,170,90,110
top 10 things in spain,Country PLP,Spain,Places & destinations,10,0%,0%,Medium,10,10,10,10,10,10,10,10,10,10,10,10
top 10 things to do in northern spain,Country PLP,Spain,Regional exploration,10,0%,0%,High,10,10,10,10,10,10,10,10,0,10,10,10
top 10 tourist cities in spain,Country PLP,Spain,Urban destinations,10,100%,100%,Low,20,10,10,10,10,10,10,10,10,10,10,20
top 10 tourist places in spain,Country PLP,Spain,Places & destinations,720,-18%,-18%,Low,720,880,720,880,880,880,720,590,480,720,480,590
top 15 destination spain,Country PLP,Spain,Places & destinations,10,0%,0%,Low,10,10,0,10,10,10,10,10,10,10,10,10
top 15 destinations in spain,Country PLP,Spain,Places & destinations,170,-36%,-47%,Low,140,140,140,110,90,260,390,260,260,140,110,90
top 15 destinations spain,Country PLP,Spain,Places & destinations,10,0%,0%,Low,10,10,0,10,10,10,10,10,10,10,10,10
top 15 places to visit in spain,Country PLP,Spain,Places & destinations,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
top 15 spain destination,Country PLP,Spain,Places & destinations,10,-100%,-100%,Unknown,0,0,0,10,10,10,0,10,0,10,0,0
top 15 spain destinations,Country PLP,Spain,Places & destinations,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
top 20 cities in spain,Country PLP,Spain,Urban destinations,30,33%,33%,Low,40,40,30,40,40,40,30,20,20,30,40,40
top 20 places to visit in spain,Country PLP,Spain,Places & destinations,20,50%,50%,Medium,20,30,20,20,20,10,10,10,10,20,10,30
top 20 things to do in spain,Country PLP,Spain,Activities & experiences,10,200%,50%,Medium,10,10,10,10,20,10,10,20,10,10,10,30
top 3 cities in spain,Country PLP,Spain,Urban destinations,50,0%,29%,Low,50,50,50,40,50,90,50,50,50,90,50,90
top 3 cities in spain to visit,Country PLP,Spain,Urban destinations,10,0%,100%,Low,10,10,10,10,20,10,20,10,10,20,20,20
top 3 cities to visit in spain,Country PLP,Spain,Urban destinations,70,-22%,0%,Low,50,110,70,50,50,50,40,30,50,90,70,70
top 3 places to visit in spain,Country PLP,Spain,Places & destinations,70,-44%,-29%,Low,70,110,50,50,50,70,70,40,50,90,70,50
top 3 tourist attractions in spain,Country PLP,Spain,Sightseeing & landmarks,30,0%,100%,Low,30,50,10,0,10,70,40,40,10,20,10,20
top 4 cities to visit in spain,Country PLP,Spain,Urban destinations,10,-50%,-50%,Low,20,10,20,10,10,10,10,10,10,20,20,10
top 5 cities in spain,Country PLP,Spain,Urban destinations,210,0%,0%,Low,210,210,210,170,170,210,260,210,210,210,210,210
top 5 cities in spain to visit,Country PLP,Spain,Urban destinations,30,0%,-33%,Low,30,20,30,20,10,30,30,40,20,20,20,20
top 5 cities to visit in spain,Country PLP,Spain,Urban destinations,320,-19%,-65%,Low,590,590,390,390,320,260,210,210,170,210,170,170
top 5 destination in spain,Country PLP,Spain,Places & destinations,50,-29%,-44%,Low,70,90,70,50,40,70,50,50,40,70,50,50
top 5 destinations in spain,Country PLP,Spain,Places & destinations,50,-29%,-44%,Low,70,90,70,50,40,70,50,50,40,70,50,50
